,Song,Artist,Scene Description
0,Quicksand,Everly,Opening montage.
1,Out Of Reach,Matthew Perryman Jones,"Nathan tells Jamie goodnight, he turns on TV/ Views of Quinn in bed, crying/ and Clay in bed, then on the back porch/ Brooke and Julian talking/ Dan on TV/ Clay and Nathan meet, new secret out."
2,Belated Promise Ring,Iron & Wine,Brooke and Julian riding in the limo to the movie premiere.
3,Chasing the Daylight,Phillip LaRue,Jamie opening gifts at his birthday party.
4,Devil May Dance,AJ Roach,Add scene description
5,Heart,Annie Stela,Jamie and Nathan playing 'Horse' / 'Lucas; Clay making a call; Brooke and Julian on beach post skinny dipping/ Quinn  looking at the Scott Family photos
6,Hollow Notes,Novi Split,Julian tells Brooke about his next assignment - in New Zealand - on the beach around a night-time bonfire.
7,"Love Like a Sunset, Pt. 2",Phoenix,Add scene description
8,Rock.Paper.Scissors,The Parlotones,Add scene description
9,That Look You Give That Guy,Eels,Guests at party play football; Julian and Brooke walk on the beach.
10,Soldier On,The Temper Trap,Haley and Quinn talk about Quinn's ex-husband
11,You Wait for Rain,Kyler England,Big record label tells Haley her boss won't shut Red Bedroom Labels down. Brooke talks to Julian's dad about how he should be a better father. Haley talks to Quinn in the pool.
12,Wonder,Jack Savoretti,Julian´s dad saying goodbye and leaves.Nathan is shown a ultrasound photo of a baby. He could be the father.
13,She's A Genius,Jet,"Skills, Jamie and Lauren go to the beach."
14,Back Against the Wall,Cage the Elephant,"Julian is talking to his dad,Paul. Paul tells Julian he is making the wrong choice to not produce the movie."
15,Not a Love Song,Uh Huh Her,Alex Dupree arrives in Tree Hill and meets Millie in the limo; Nathan and Clay run into Quinn on the beach.
16,Doorway,Io Echo,Add scene description
17,Black Champagne,Starlight Mints,Add scene description
18,Autumn Eyes,Tin Star Orphans,Add scene description
19,Hands,Blu Sanders,Brooke accepts Alex as the face of her new clothing line; Julian tells Brooke his story about the thin red line poster.
20,Growing Old Is Getting Old,Silversun Pickups,Alex gives Julian a script. Clay says to Renee that him and Nathan aren't gonna pay her. Nathan talks to Haley and goes to talk to Jamie about the theme.
21,Stilts,Tim Williams,Haley looks at the sonogram and party photos.; Brooke heads to work.; Skillz gets a surprise in his shower.; Millie wakes Alex up for her photo shoot with Clothes Over Bro's.
22,Hey Na Na,Katie Herzig,alex arrives hung over to the clothes over bros photo shoot
23,Showdown,Black Eyed Peas,During the photo shoot.
24,Hollow Talk,Choir of Young Believers,"Scene: Haley talks to Nathan about the photos taken at Clay's party.; A Scott Free Redemption audience member calls Dan a ""murder"" during his show."
25,Ozone Street,Tim Williams,Add scene description
26,Born In the Spring,Stephen Kellogg & The Sixers,Add scene description
27,Mom,Lucero,Haley and Clay talking on the rock. / Dan and Rachel Flashback in hotel.
28,Last Confession,Sorta,Add scene description
29,Welcome Home,Radical Face,When Dan admits to the murder he committed and brings Rachel out on stage. (15 or 16 minutes in)
30,Drifters,Zaac Pick,Add scene description
31,Let It Out,Crash Boom Bang,Add scene description
32,Love's Lost Guarantee,Rogue Wave,Nathan and Clay talk about Nathan´s worries about t the consequences that may come after not paying Renée. Brooke and Julian talk about Alex´s talent. Millie is surprised that Alex is awake and sober.
33,Sometimes - US Album Version,Noisettes,Nathan finds Jamie in bed with a picture of Nate and Haley together. Julian tells Brooke he's going to work with Alex on her script. Quinn tells David to let go of her and go home. Haley slaps Renee.
34,Never Forget You,Noisettes,Performed after the fashion show. Haley & Miranda talk; Mouth gives his sports cast
35,Don't Upset the Rhythm (Go Baby Go),Noisettes,Perform during the fashion show
36,Goodnight and God Bless,Robin Foster,Add scene description
37,Sunshine Coolin',The Asteroids Galaxy Tour,Add scene description
38,Daily Turn,Beat Corp,Add scene description
39,Whatever It Takes,Tracy Shedd,Add scene description
40,Blood Oranges,Foreign Born,Add scene description
41,Come Back When You Can,Barcelona,Quinn talks to David on the bench by the water
42,Help I'm Alive,Metric,"Chase brings Millie flowers from Mouth, Victoria meets Alex"
43,Rain At Your Door,The Aeroplanes,Add scene description
44,Houses,Great Northern,"Opening, Haley hits the lying girl in the face; Clay feeds Quinn breakfast."
45,Deeper Side of You,Phillip LaRue,Nathan and Haley hold the press conference; Haley finds Jamie’s toy police car in the trash.
46,Hey Darlin' Do You Gamble?,Lucero,Haley is at the piano and Quinn comes to talk to her; Nathan meets David at Tric.
47,Never Know,The Wooden Birds,Add scene description
48,Burn My Eyes,Simon Kelly,Add scene description
49,Bent,BandB,Add scene description
50,Seeds of Night,The Cave Singers,Brooke shows Mouth pictures of Millie from the fashion show; Haley talks to the woman in the jail cell.
51,Momma's Boy,Elizabeth & The Catapult,Add scene description
52,How Could I Lose,James Yuill,Hayley is arrested; Clay and Quinn eat breakfast and chat.
53,I Want You So Bad I Can't Breathe,OK Go,"Beginning, Nathan works in a commercial with an actress; Julian and Brooke in bed."
54,Love Lost,The Temper Trap,Millie wakes up in Alex’s hotel room; Hayley confronts Nathan about Renee’s phone number in his old phone bills
55,To Build a Home (feat. Patrick Watson),The Cinematic Orchestra,Clay confronts an old flame (Sarah). Mouth reports on Nathan allegations.
56,All Time Low,Stacy Clark,Quinn finds Clay walking on the beach and offers to talk.
57,Plans & Reveries,Black Gold,Add scene description
58,Worry About It Later,Brakes,Julian’s walks in on Brooke taking Chase’s measurements at Clothes Over Bro’s.
59,Don't Hold Your Breath,Athlete,Add scene description
60,Leaving It,Novi Split,"Mouth assures Millie she's a model,"
61,First Chance,David Gray,Rachel talks to Dan backstage at their show; Clay talks to a girl at Tric.
62,Everyman,The Guggenheim Grotto,Add scene description
63,The Longing,Eels,Add scene description
64,Never Go Too Far,Oh Darling,Mouth tells his boss he wants back on the air; Quinn and Nathan argue.
65,Feather In the Wind,Susie Suh,"Renée accept to be on Dan´s tv-show, Haley decided to not pay Renée and Nathan tells her she´s his dream and he never would cheat on her, Millie sneaks up at night and takes diet pills,End of episode"
66,Cheek Petit,The Clarke & Ware Experiment,Add scene description
67,I And Love And You,The Avett Brothers,The end of the episode
68,I Won't,Colbie Caillat,"Clay calls Nathan, Quinn goes to find Haley and Nathan and When Quinn flashes back to David installing the screening room and finds his blank grant paperwork."
69,Angel Flying Too Close to the Ground,Willie Nelson,Clay and sara talk and Sara dying
70,Menace,Bjorn Baillie,Starting scene with Dan and his wife at their show.
71,While We Have The Chance (ft. Peter Bradley Adams) ,Rosi Golan,Add scene description
72,Manic Boogie,The Shake,Add scene description
73,Belle of the Boulevard,Dashboard Confessional,Clay and his (ex) wife jump off a bridge holding hands.
74,Buried Treasure,Grant Lee Phillips,"Flashbacks Quinn with David, Clay with Sarah. Brooke questions Julian about why he still works with Alex."
75,Whose Side Are You On?,Doubting Paris,Add scene description
76,Inside These Lines,Trent Dabbs,"Qinn comes to Clay´s house, he tells her to go- then he stops her car. He tells her about his dead wife."
77,Feels Like the End,Shane Alexander,Dan and Rachel talk about his heart condition after he collapsed on the show; Clay talks to dead Sara about her death.
78,Moving In Stereo,The Cars,Add scene description
